name,company,title,email,phone,whatsapp,telegram_username,industry,company_size,context,source,status
,ЧОП Бастион,,info@bst77.ru,,,,Охрана,,Город: Москва; Сайт: https://bst77.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://bst77.ru/contacts/,email найден на официальном сайте/странице контактов
,ЧОО Контроль 24,,info@chop-24.com,,,,Охрана,,Город: Москва; Сайт: https://chop-24.com/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://chop-24.com/contacts/,email найден на официальном сайте/странице контактов
,ООО ЧОП ЩИТ,,info@objector.ru,,,,Охрана,,Город: Москва; Сайт: https://www.objector.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://www.objector.ru/kontakty/,email найден на официальном сайте/странице контактов
,ООО ЧОП Альянс,,info@chop-alliance.ru,,,,Охрана,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://chop-alliance.ru/,email найден на официальном сайте/странице контактов
,ЧОП Беркут,,info@berkutsecurity.ru,,,,Охрана,,Город: Москва; Сайт: https://berkutsecurity.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://berkutsecurity.ru/kontakty/,email найден на официальном сайте/странице контактов
,ЧОП Альянс / ohrana-russia,,info@ohrana-russia.ru,,,,Охрана,,Город: Москва; Сайт: https://www.ohrana-russia.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://www.ohrana-russia.ru/contacts/,email найден на официальном сайте/странице контактов
,ЧОП ОХРАНА-СЕРВИС,,info@ohrana-servis-moscow.ru,,,,Охрана,,Город: Москва; Сайт: https://ohrana-servis-moscow.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://ohrana-servis-moscow.ru/kontakty,email найден на официальном сайте/странице контактов
,ЧОП Сириус,,info@kbsirius.ru,,,,Охрана,,Город: Санкт-Петербург; Сайт: https://kbsirius.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://kbsirius.ru/contacts/,email найден на официальном сайте/странице контактов
,Атлант секьюрити,,info@atlant-security.ru,,,,Охрана,,Город: Санкт-Петербург; Сайт: https://atlant-security.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://atlant-security.ru/kontakty/,email найден на официальном сайте/странице контактов
,Невский контроль,,info@oonk.ru,,,,Охрана,,Город: Санкт-Петербург; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://oonk.ru/,email найден на официальном сайте/странице контактов
,Ресторан ЧанЧан,,info@chanchan.ru,,,,HoReCa,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://chanchan.ru/,email найден на официальном сайте/странице контактов
,Ресторан Кобзарь,,info@kobzar.ru,,,,HoReCa,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://restoran-kobzar.ru/,email найден на официальном сайте/странице контактов
,Arium Hotel,,info@arium-hotel.com,,,,HoReCa,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://www.arium-hotel.com/,email найден на официальном сайте/странице контактов
,Кафе-пекарни Маковка,,info@p-makovka.ru,,,,HoReCa,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://p-makovka.ru/,email найден на официальном сайте/странице контактов
,Brosko Restaurant,,info@broskorestaurant.ru,,,,HoReCa,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://broskorestaurant.ru/,email найден на официальном сайте/странице контактов
,Imrus Hotel,,info@imrushotel.ru,,,,HoReCa,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://imrushotel.ru/,email найден на официальном сайте/странице контактов
,Чайхана Инжир / Family Garden,,info@chaihana-injir.com,,,,HoReCa,,Город: Москва; Сайт: https://familygarden.su/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://familygarden.su/injirdmitrovskaya/,email найден на официальном сайте/странице контактов
,Отель Бауманский,,info@baumansky-hotel.ru,,,,HoReCa,,Город: Москва; Сайт: https://baumansky-hotel.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://baumansky-hotel.ru/about/,email найден на официальном сайте/странице контактов
,Бутик-отель Столешников,,info@stbh.ru,,,,HoReCa,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://stoleshnikovhotel.ru/,email найден на официальном сайте/странице контактов
,Гостиничный комплекс Севастополь,,info@sevastopol-hotel.ru,,,,HoReCa,,Город: Москва; Сайт: https://sevastopol-hotel.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://sevastopol-hotel.ru/contact/,email найден на официальном сайте/странице контактов
,Chez Michel Hotel,,info@hotelmichel.ru,,,,HoReCa,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://hotelmichel.ru/,email найден на официальном сайте/странице контактов
,Кафе Греки и Узбеки,,info@cafegreco.ru,,,,HoReCa,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://www.cafegreco.ru/,email найден на официальном сайте/странице контактов
,УК Городские технологии строительства,,info@bildconsult.ru,,,,ЖКХ / управление недвижимостью,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://bildconsult.ru/,email найден на официальном сайте/странице контактов
,Институт экономики ЖКХ,,info@ineccommunal.ru,,,,ЖКХ / консалтинг,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://ineccommunal.ru/,email найден на официальном сайте/странице контактов
,УК ППСК,,info@fpscom.ru,,,,ЖКХ / управляющая компания,,Город: Москва; Сайт: https://fpscom.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://fpscom.ru/contacts/,email найден на официальном сайте/странице контактов
,УК КВАРТАЛ,,info@uk-kvartal.ru,,,,ЖКХ / управляющая компания,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://www.uk-kvartal.ru/,email найден на официальном сайте/странице контактов
,ЕРЦ ЖКХ,,info@erc-gkh.ru,,,,ЖКХ / расчеты и сервис,,Город: Москва; Сайт: https://erc-gkh.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://erc-gkh.ru/debt,email найден на официальном сайте/странице контактов
,СервИнст,,info@servinst.ru,,,,Сервисные службы,,Город: Москва; Сайт: https://servinst.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://servinst.ru/contacts,email найден на официальном сайте/странице контактов
,Национальная сервисная служба,,info@service-pt.com,,,,Сервисные службы,,Город: Москва; Сайт: https://service-pt.com/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://service-pt.com/kontakty/,email найден на официальном сайте/странице контактов
,ААС Сервис,,info@aasservice.ru,,,,Сервисные службы,,Город: Москва; Сайт: https://aasservice.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://aasservice.ru/kontakty/,email найден на официальном сайте/странице контактов
,Midway,,info@midway.ru,,,,Сервисные службы,,Город: Москва; Сайт: https://www.midway.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://www.midway.ru/contacts,email найден на официальном сайте/странице контактов
,Сфера чистой воды,,info@vipfiltr.ru,,,,Сервисные службы,,Город: Москва; Сайт: https://vipfiltr.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://vipfiltr.ru/contacts/,email найден на официальном сайте/странице контактов
,Водоканал Сервис,,info@vodokanal-msk.ru,,,,Аварийная служба / канализация,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://vodokanal-msk.ru/,email найден на официальном сайте/странице контактов
,СМП Трэйд,,info@gk-smp.ru,,,,Сервисные службы,,Город: Московская область; Сайт: https://www.gk-smp.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://www.gk-smp.ru/kontakty.html,email найден на официальном сайте/странице контактов
,CES Energy,,info@cesenergy.ru,,,,ЖКХ / энергетика / диспетчерская,,Город: Москва; Сайт: https://cesenergy.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://cesenergy.ru/kontakty/,email найден на официальном сайте/странице контактов
,Leistung,,info@leistung.store,,,,Сервисные службы,,Город: Москва; Сайт: https://leistung.store/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://leistung.store/kontakty,email найден на официальном сайте/странице контактов
,Liftremont,,info@liftremont.ru,,,,Сервисные службы / лифты,,Город: Москва; Сайт: https://liftremont.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://liftremont.ru/contact/,email найден на официальном сайте/странице контактов
,Autoscaners,,info@autoscaners.ru,,,,Сервисные службы,,Город: Москва; Сайт: https://www.autoscaners.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://www.autoscaners.ru/contacts/,email найден на официальном сайте/странице контактов
,Техно Юнион,,info@thnn.ru,,,,Сервисные службы,,Город: Москва; Сайт: https://thnn.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://thnn.ru/contacts,email найден на официальном сайте/странице контактов
,Вибра Рус,,info@vibra.ru,,,,Сервисные службы,,Город: Москва; Сайт: https://www.acomrus.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://www.acomrus.ru/contacts/,email найден на официальном сайте/странице контактов
,Инкомпартс,,info@incomparts.ru,,,,Сервисные службы,,Город: Москва; Сайт: https://incomparts.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://incomparts.ru/contacts/,email найден на официальном сайте/странице контактов
,ГК Конкиста,,info@konkista.ru,,,,Сервисные службы / диспетчерская,,Город: Москва; Сайт: https://konkista.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://konkista.ru/kontakty/,email найден на официальном сайте/странице контактов
,СП Евролифт,,info@eurolift.ru,,,,Сервисные службы / лифты,,Город: Москва; Сайт: https://eurolift.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://eurolift.ru/kontakty,email найден на официальном сайте/странице контактов
,ГК ДОС,,info@gkdos.ru,,,,ЖКХ / диспетчерская,,Город: Москва; Сайт: https://gkdos.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://gkdos.ru/contacts,email найден на официальном сайте/странице контактов
,УК Бабушкинский,,info@ukbab.ru,,,,ЖКХ / управляющая компания,,Город: Москва; Сайт: https://ukbab.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://ukbab.ru/contacts,email найден на официальном сайте/странице контактов
,ООО Энергия,,info@oooenerg.ru,,,,Сервисные службы / инженерные системы,,Город: Москва; Сайт: https://oooenerg.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://oooenerg.ru/kontakty/,email найден на официальном сайте/странице контактов
,УК Свитхом,,info@mcsh.ru,,,,ЖКХ / управляющая компания,,Город: Москва; Сайт: https://mcsh.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://mcsh.ru/contacts,email найден на официальном сайте/странице контактов
,УК НЕО ГЕО,,info@uk-neogeo.ru,,,,ЖКХ / управляющая компания,,Город: Москва; Сайт: https://uk-neogeo.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://uk-neogeo.ru/contacts.html,email найден на официальном сайте/странице контактов
,УК ЖилЦентр,,info@jilcentr.ru,,,,ЖКХ / управляющая компания,,Город: Москва; Сайт: https://jilcentr.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://jilcentr.ru/contacts,email найден на официальном сайте/странице контактов
,УК ДЭЗИС,,info@dezis.ru,,,,ЖКХ / управляющая компания,,Город: Москва; Сайт: https://dezis.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://dezis.ru/contacts/,email найден на официальном сайте/странице контактов
,Климсервис,,info@klimservice.ru,,,,Аварийная служба / инженерные системы,,Город: Москва; Сайт: https://klimservice.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://klimservice.ru/informatsiya/kontakty,email найден на официальном сайте/странице контактов
,ТРИС,,info@trisuslugi.ru,,,,Аварийная служба / канализация,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://trisuslugi.ru/,email найден на официальном сайте/странице контактов
,Асфальт Москва,,info@asphaltmoscow.ru,,,,Аварийная служба / дорожный сервис,,Город: Москва и область; Сайт: https://asphaltmoscow.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://asphaltmoscow.ru/glavnoe/kontakty/,email найден на официальном сайте/странице контактов
,УК Коммунальные сети,,info@ukks.spb.ru,,,,ЖКХ / управляющая компания,,Город: Санкт-Петербург; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://ukks.spb.ru/,email найден на официальном сайте/странице контактов
,УК Прокси,,info@proksi.spb.ru,,,,ЖКХ / управляющая компания,,Город: Санкт-Петербург; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://proksi.spb.ru/,email найден на официальном сайте/странице контактов
,УК Эквида-Сервис,,info@ecvida-service.ru,,,,ЖКХ / управляющая компания,,Город: Санкт-Петербург; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://ecvida-service.ru/,email найден на официальном сайте/странице контактов
,УК КСМ,,info@ksm.spb.ru,,,,ЖКХ / управляющая компания,,Город: Санкт-Петербург; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://ksm.spb.ru/,email найден на официальном сайте/странице контактов
,УК Соотечественник,,info@soot-k.ru,,,,ЖКХ / управляющая компания,,Город: Санкт-Петербург; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://soot-k.ru/,email найден на официальном сайте/странице контактов
,Управление комфортом,,info@uprkom.ru,,,,ЖКХ / управляющая компания,,Город: Санкт-Петербург; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://uprkom.com/,email найден на официальном сайте/странице контактов
,ЖКС Адмиралтейского района,,info@gks-ar.ru,,,,ЖКХ / управляющая компания,,Город: Санкт-Петербург; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://www.gks-ar.ru/,email найден на официальном сайте/странице контактов
,УК Петровский Остров,,info@uk-petrovsky.ru,,,,ЖКХ / управляющая компания,,Город: Санкт-Петербург; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://www.uk-petrovsky.ru/,email найден на официальном сайте/странице контактов
,City Express,,mow@cityexpress.ru,,,,Доставка / логистика,,Город: Москва; Сайт: https://www.cityexpress.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://www.cityexpress.ru/contact,email найден на официальном сайте/странице контактов
,ФУДТАЙМ.МОСКВА,,info@foodtime.moscow,,,,Доставка еды,,Город: Москва; Сайт: https://foodtime.moscow/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://foodtime.moscow/contacts/,email найден на официальном сайте/странице контактов
,RTA GROUP,,info@rta.group,,,,Доставка / логистика,,Город: Москва; Сайт: https://rta.group/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://rta.group/contacts/,email найден на официальном сайте/странице контактов
,Курьер Сервис Экспресс / КСЭ,,info@cse.ru,,,,Доставка / курьерская служба,,Город: Москва; Сайт: https://www.cse.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://www.cse.ru/tse/contacts/,email найден на официальном сайте/странице контактов
,СТС Логистикс,,info@stslog.com,,,,Доставка / логистика,,Город: Москва; Сайт: https://stslog.com/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://stslog.com/contacts,email найден на официальном сайте/странице контактов
,D-TRANS LLC,,info@dtransllc.com,,,,Доставка / логистика,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://www.dtransllc.com/,email найден на официальном сайте/странице контактов
,Delivery Strazek,,info@strazek.com,,,,Доставка еды,,Город: Москва; Сайт: https://delivery.strazek.com/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://delivery.strazek.com/kontacty,email найден на официальном сайте/странице контактов
,Курьерская служба Метеор,,info@ksmeteor.com,,,,Доставка / курьерская служба,,Город: Москва; Сайт: https://ksmeteor.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://ksmeteor.ru/contacts,email найден на официальном сайте/странице контактов
,Expeditor Co,,info@unilogist.com,,,,Доставка / логистика,,Город: Москва / Санкт-Петербург; Сайт: https://unilogist.com/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://unilogist.com/contacts/,email найден на официальном сайте/странице контактов
,Asia Trans Cargo,,info@asiacargo.ru,,,,Доставка / логистика,,Город: Москва; Сайт: https://asiacargo.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://asiacargo.ru/contacts/,email найден на официальном сайте/странице контактов
,Tradest,,info@tradest.ru,,,,Доставка / логистика,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://tradest.ru/,email найден на официальном сайте/странице контактов
,РТЭК,,info@rtek-logistic.ru,,,,Доставка / логистика,,Город: Москва; Сайт: https://rtek-logistic.com/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://rtek-logistic.com/contact,email найден на официальном сайте/странице контактов
,ACS,,info@acs-lc.com,,,,Доставка / логистика,,Город: Москва; Сайт: https://www.acs-lc.com/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://www.acs-lc.com/ru/kontakty/,email найден на официальном сайте/странице контактов
,SOLO Food,,info@solofood.ru,,,,Доставка еды,,Город: Москва; Сайт: https://solofood.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://solofood.ru/company/contact/,email найден на официальном сайте/странице контактов
,КГТ доставка,,info@kgt-dostavka.ru,,,,Доставка / курьерская служба,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://kgt-dostavka.ru/,email найден на официальном сайте/странице контактов
,ITL,,info@itl.pro,,,,Доставка / логистика,,Город: Москва; Сайт: https://itl.pro/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://itl.pro/contacts,email найден на официальном сайте/странице контактов
,POSTDEPO,,info@postdepo.ru,,,,Доставка / курьерская служба,,Город: Москва; Сайт: https://www.postdepo.ru/; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://www.postdepo.ru/about/,email найден на официальном сайте/странице контактов
,DelivMe,,info@delivme.ru,,,,Доставка / курьерская служба,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://delivme.ru/,email найден на официальном сайте/странице контактов
,Taco Boom,,info@tacoboom.ru,,,,Доставка еды,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://tacoboom.ru/,email найден на официальном сайте/странице контактов
,Лучший повар,,info@bestpovar.ru,,,,Доставка еды,,Город: Москва; Файл: leadgen_chatgpt.xlsx; Дата проверки: 2026-05-15; Комментарий: 15,https://bestpovar.ru/,email найден на официальном сайте/странице контактов
,Контроль 24,,info@chop-24.com,,,,"Охрана объектов, ЧОО",,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://chop-24.com/,
,Север Групп,,info@s-guard.ru,,,,Охранная компания,,"Сайт: https://s-guard.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://s-guard.ru/contact-us/,
,АРКС8,,info@arks8.ru,,,,Частное охранное предприятие,,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://arks8.ru/,
,Альфа-Б,,info@alpha-b.ru,,,,Частное охранное предприятие,,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://alpha-b.ru/,
,Багратион-1,,info@bagration-1.ru,,,,"ЧОП, охрана объектов",,"Сайт: https://bagration-1.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://bagration-1.ru/kontakti/,
,Бастион,,info@bst77.ru,,,,Частное охранное агентство,,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://bst77.ru/,
,Пересвет-Центр,,info@peresvetc.ru,,,,"ЧОП, охрана объектов",,"Сайт: https://www.peresvetc.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://www.peresvetc.ru/contacts/,
,Фемида СБ,,info@femidasb.ru,,,,"ЧОП, охрана бизнеса",,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://femidasb.ru/,
,Гарант,,info@sb-garant.com,,,,Охранное агентство,,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://sb-garant.com/,
,Атлант Секьюрити,,info@atlant-security.ru,,,,"ЧОП, охрана объектов",,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://atlant-security.ru/,
,NEGCo,,info@negco.ru,,,,Клининг для бизнеса,,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://www.negco.ru/,
,ЭкоДом,,info@cleanecodom.ru,,,,Клининговые услуги для юрлиц,,"Сайт: https://cleanecodom.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://cleanecodom.ru/contacts/,
,Эксперт Клининг Групп,,info@exclean.ru,,,,Клининговая компания,,"Сайт: https://exclean.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://exclean.ru/contacts/,
,Mactailor,,info@mactailor.ru,,,,Клининг и химчистка,,"Сайт: https://mactailor.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://mactailor.ru/kontakty/,
,Клининг-Групп,,info@klining-grupp.ru,,,,Клининговая компания,,"Сайт: https://klining-grupp.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://klining-grupp.ru/contacts,
,ВиОНа-Клининг,,info@viona-cleaning.ru,,,,Клининговые услуги,,"Сайт: https://www.viona-cleaning.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://www.viona-cleaning.ru/contacts/,
,КлинОн,,info@cleanon.ru,,,,Клининговая компания,,"Сайт: https://cleanon.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://cleanon.ru/contacts/,
,Тирагор,,or@tiragor.com,,,,Клининговая компания,,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://tiragor.com/,
,CleanTeam,,service@cleanteam.ru,,,,Клининговая компания,,"Сайт: https://cleanteam.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://cleanteam.ru/kontakty/,
,Проблеск,,info@problesk.com,,,,Клининговая компания,,"Сайт: https://problesk.com/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://problesk.com/contact/,
,BarRestoGroup,,info@barrgroup.ru,,,,"Ресторанная группа, 8 ресторанов",,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://www.barrgroup.ru/,
,Furshetto-Mio,,info@furshetto-mio.ru,,,,"Кейтеринг, доставка обедов",,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://www.furshetto-mio.ru/,
,Diamond Catering,,sales@dcatering.ru,,,,Кейтеринг,,"Сайт: https://dcatering.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://dcatering.ru/kontakty/,
,Marco Polo Catering,,info@mpcatering.ru,,,,Кейтеринг,,"Сайт: https://mpcatering.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://mpcatering.ru/kontakty,
,16 Тонн Кейтеринг,,info@16catering.ru,,,,"Кейтеринг, корпоративное питание",,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://www.16catering.ru/,
,Калина Групп,,Info@kalinaice.ru,,,,Корпоративное питание,,"Сайт: https://kalinaice.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://kalinaice.ru/kontakty/,
,CORSO Catering,,info@corsocatering.ru,,,,Кейтеринг,,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://corsocatering.ru/,
,Campus Catering,,info@campuscatering.ru,,,,Кейтеринг,,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://campuscatering.ru/,
,Force Catering,,info@forcecatering.ru,,,,Кейтеринг,,"Сайт: https://forcecatering.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://forcecatering.ru/contact/,
,Фуршет.ру,,info@furshet.ru,,,,Кейтеринг,,"Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://furshet.ru/,
,Эстетик Клуб,,otvet@estetik.ru,,,,Медицинская косметология,,"Сайт: https://estetik.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://estetik.ru/contacts/,
,Дентамед,,info@dentamed.ru,,,,Стоматологические клиники,,"Сайт: https://dentamed.ru/; Файл: leadgen_codex.xlsx; Комментарий: Локальная/региональная компания, численность требует проверки",https://dentamed.ru/contacts/,
